noBudget,Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
110434,5.1.2.01,Gaji Guru Tetap Yayasan,0,,0,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
110435,5.1.2.02,Gaji Karyawan Tetap Yayasan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110436,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110437,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110438,5.1.3.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,0,,0,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000
110439,5.1.3.02,Pembayaran Honor Tenaga Kependidikan,0,,0,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
110440,5.1.3.03,Pembayaran Honor Kelebihan Mengajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110441,5.1.4.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,0,,0,300000,300000,400000,200000,300000,200000,0,400000,200000,400000,300000,0
110442,5.1.4.02,Pembayaran Honor Tenaga Kependidikan,0,,0,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000
110443,5.2.1.01,Penyusunan Aneka Pedoman Belajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110444,5.2.1.02,Pelaksanaan Kegiatan Pengembangan Siswa,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110445,5.2.1.03,Pelaksanaan Penunjang Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110446,5.2.2.01,Penyusunan Program Perpustakaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110447,5.2.2.02,Penyusunan Program Rutin Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110448,5.2.2.03,Penyusunan Program Pengelolaan Laboratorium,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110449,5.2.2.04,Penyusunan Program Ekstrakurikuler,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110450,5.2.2.05,Pengadaan Buku LKS/Majalah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110451,5.2.3.01,Pengelolaan Media Pembelajaran Cetak,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110452,5.2.3.02,Pelaksanaan Program Kesiswaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110453,5.2.3.03,Pelaksanaan Pendaftaran Peserta Didik Baru (PPDB),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110454,5.2.3.04,Pengadaan Sarana Penunjang Kegiatan Belajar Mengajar,0,,0,0,0,0,0,700000,0,0,0,0,0,0,0
110455,5.2.3.05,Pendataan Dapodik,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110456,5.2.3.06,Usaha Kesehatan Sekolah (UKS); Peralatan dan/atau Obat-obatan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110457,5.2.3.07,Peningkatan Kompetensi Guru,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110458,5.2.3.08,Pengembangan Inovasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110459,5.2.3.09,Bantuan Siswa Miskin,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110460,5.2.4.01,Pembinaan Pendidik,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110461,5.2.4.02,Pembinaan Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110462,5.2.4.03,Pembinaan Administrasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110463,5.2.4.04,Pembuatan Media Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110464,5.2.5.01,Pengadaan Peralatan / Perlengkapan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110465,5.2.5.02,Pengadaan / Peningkatan Instalasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
