noBudget,Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
115318,4.2.1.1.01,Bosnas Semester 1 (Juli-Desember),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115319,4.2.1.1.02,Bosnas Semester 2 (Januari-Juni),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115320,4.2.1.2.01,BOP Semester 1 (Juli-Desember),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115321,4.2.1.2.02,BOP Semester 2 (Januari-Juni),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115322,4.2.1.3,BANSOS/DAK/Hibah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115323,4.2.1.4.01,UN,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115324,4.2.1.4.02,APBN Lain,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115325,4.2.2.1.01,Bosda Semester 1 (Juli-Desember),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115326,4.2.2.1.02,Bosda Semester 2 (Januari-Juni),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115327,4.2.2.2,Gaji Guru dan Karyawan DPK,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115328,4.2.2.3,Bantuan Lain-lain,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115329,4.3.1.01,Pendapatan Koperasi Sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115330,4.3.1.02,Pendapatan Kantin Sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115331,4.3.2.01,Sumbangan dari Orang Tua,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115332,4.3.2.02,Sumbangan dari Alumni,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115333,4.3.2.03,Sumbangan dari Gereja,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115334,4.3.2.04,Sumbangan Lainnya,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115335,5.1.1.01,Iuran Pensiun Yadapen,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115336,5.1.1.02,Iuran BPJS Kesehatan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115337,5.1.1.03,Iuran BPJS Tenaga Kerja,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115338,5.1.2.01,Gaji Guru Tetap Yayasan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115339,5.1.2.02,Gaji Karyawan Tetap Yayasan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115340,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115341,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115342,5.1.3.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115343,5.1.3.02,Pembayaran Honor Tenaga Kependidikan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115344,5.1.3.03,Pembayaran Honor Kelebihan Mengajar,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115345,5.1.4.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115346,5.1.4.02,Pembayaran Honor Tenaga Kependidikan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115347,5.1.4.03,Pembayaran Honor Kelebihan Mengajar,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115348,5.2.1.01,Penyusunan Aneka Pedoman Belajar,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115349,5.2.1.02,Pelaksanaan Kegiatan Pengembangan Siswa,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115350,5.2.1.03,Pelaksanaan Penunjang Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115351,5.2.2.01,Penyusunan Program Perpustakaan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115352,5.2.2.02,Penyusunan Program Rutin Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115353,5.2.2.03,Penyusunan Program Pengelolaan Laboratorium,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115354,5.2.2.04,Penyusunan Program Ekstrakurikuler,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115355,5.2.2.05,Pengadaan Buku LKS/Majalah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115356,5.2.3.01,Pengelolaan Media Pembelajaran Cetak,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115357,5.2.3.02,Pelaksanaan Program Kesiswaan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115358,5.2.3.03,Pelaksanaan Pendaftaran Peserta Didik Baru (PPDB),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115359,5.2.3.04,Pengadaan Sarana Penunjang Kegiatan Belajar Mengajar,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115360,5.2.3.05,Pendataan Dapodik,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115361,5.2.3.06,Usaha Kesehatan Sekolah (UKS); Peralatan dan/atau Obat-obatan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115362,5.2.3.07,Peningkatan Kompetensi Guru,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115363,5.2.3.08,Pengembangan Inovasi Sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115364,5.2.3.09,Bantuan Siswa Miskin,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115365,5.2.4.01,Pembinaan Pendidik,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115366,5.2.4.02,Pembinaan Tenaga Kependidikan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115367,5.2.4.03,Pembinaan Administrasi Sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115368,5.2.4.04,Pembuatan Media Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115369,5.2.5.01,Pengadaan Peralatan / Perlengkapan Kantor,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115370,5.2.5.02,Pengadaan / Peningkatan Instalasi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115371,5.2.5.03,Pengembangan Database Perpustakaan dan Perpustakaan Elektronik (e - library),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115372,5.2.5.04,Pengadaan Sarana Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115373,5.2.5.05,Pengadaan Mebelair,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115374,5.2.5.06,Pembangunan / Penambahan Bangunan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115375,5.2.5.07,Pemeliharaan Peralatan / Perlengkapan Kantor,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115376,5.2.5.08,Pemeliharaan Instalasi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115377,5.2.5.09,Pemeliharaan Sarana Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115378,5.2.5.10,Pemeliharaan Mebelair,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115379,5.2.5.11,Pemeliharaan Bangunan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115380,5.2.5.12,Pemeliharaan Kebersihan Bangunan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115381,5.2.6.01,Kerjasama dengan Sekolah Lain,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115382,5.2.6.02,Program; Supervisi; Monitoring; Evaluasi; Laporan ,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115383,5.2.6.03,Pelaksanaan Rapat,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115384,5.2.6.04,Pengembangan Sistem Informasi Manajemen,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115385,5.2.6.05,Pengelolaan Inventaris Barang,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115386,5.2.6.06,Penyelenggaraan Lintas Alam,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115387,5.2.7.01,Akreditasi sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115388,5.2.7.02,Biaya transportasi untuk urusan dana BOS,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115389,5.2.7.03,Honor bagi penyusun laporan BOS,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115390,5.2.7.04,Keperluan Konsumsi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115391,5.2.7.05,Pembayaran Iuran Internet,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115392,5.2.7.06,Pembayaran Langganan Air,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115393,5.2.7.07,Pembayaran Rekening Listrik,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115394,5.2.7.08,Pembayaran Rekening Telepon,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115395,5.2.7.09,Pembayaran Retribusi Keamanan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115396,5.2.7.10,Pembayaran Retribusi Sampah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115397,5.2.7.11,Pengadaan ATK,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115398,5.2.7.12,Pengadaan Kebutuhan Rumah Tangga,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115399,5.2.7.13,Pembayaran Keperluan Administrasi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115400,5.2.7.14,Penyediaan Pembiayaan untuk Studi Lanjut Pendidik/Tenaga Kependidikan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
