noBudget,Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
130533,4.2.1.1.01,Bosnas Semester 1 (Juli-Desember),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130534,4.2.1.1.02,Bosnas Semester 2 (Januari-Juni),0,,0,0,257400000,0,0,0,0,257400000,0,0,0,0,0
130535,4.2.1.2.01,BOP Semester 1 (Juli-Desember),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130536,4.2.1.2.02,BOP Semester 2 (Januari-Juni),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130537,4.2.1.3,BANSOS/DAK/Hibah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130538,4.2.1.4.01,UN,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130539,4.2.1.4.02,APBN Lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130540,4.2.2.1.01,Bosda Semester 1 (Juli-Desember),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130541,4.2.2.1.02,Bosda Semester 2 (Januari-Juni),0,,0,0,0,0,102960000,0,0,0,102960000,0,0,0,0
130542,4.2.2.2,Gaji Guru dan Karyawan DPK,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130543,4.2.2.3,Bantuan Lain-lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130544,4.3.1.01,Pendapatan Koperasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130545,4.3.1.02,Pendapatan Kantin Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130546,4.3.2.01,Sumbangan dari Orang Tua,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130547,4.3.2.02,Sumbangan dari Alumni,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130548,4.3.2.03,Sumbangan dari Gereja,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130549,4.3.2.04,Sumbangan Lainnya,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130550,5.1.1.01,Iuran Pensiun Yadapen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130551,5.1.1.02,Iuran BPJS Kesehatan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130552,5.1.1.03,Iuran BPJS Tenaga Kerja,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130553,5.1.2.01,Gaji Guru Tetap Yayasan,0,,0,27659030,27659030,27659030,27659030,27659030,27659030,27659030,27659030,27659030,27659030,27659030,27659030
