Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
4.2.1.1.01,Bosnas Semester 1 (Juli-Desember),1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.1.1.02,Bosnas Semester 2 (Januari-Juni),1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.1.2.01,BOP Semester 1 (Juli-Desember),1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.1.2.02,BOP Semester 2 (Januari-Juni),1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.1.3,BANSOS/DAK/Hibah,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.1.4.01,UN,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.1.4.02,APBN Lain,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.2.1.01,Bosda Semester 1 (Juli-Desember),1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.2.1.02,Bosda Semester 2 (Januari-Juni),1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.2.2,Gaji Guru dan Karyawan DPK,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.2.2.3,Bantuan Lain-lain,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.3.1.01,Pendapatan Koperasi Sekolah,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.3.1.02,Pendapatan Kantin Sekolah,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.3.2.01,Sumbangan dari Orang Tua,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.3.2.02,Sumbangan dari Alumni,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.3.2.03,Sumbangan dari Gereja,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4.3.2.04,Sumbangan Lainnya,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.1.01,Iuran Pensiun Yadapen,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.1.02,Iuran BPJS Kesehatan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.1.03,Iuran BPJS Tenaga Kerja,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.2.01,Gaji Guru Tetap Yayasan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.2.02,Gaji Karyawan Tetap Yayasan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.2.03,Gaji Guru Tidak Tetap Yayasan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.3.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.3.02,Pembayaran Honor Tenaga Kependidikan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.3.03,Pembayaran Honor Kelebihan Mengajar,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.4.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.4.02,Pembayaran Honor Tenaga Kependidikan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.1.4.03,Pembayaran Honor Kelebihan Mengajar,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.1.01,Penyusunan Aneka Pedoman Belajar,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.1.02,Pelaksanaan Kegiatan Pengembangan Siswa,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.1.03,Pelaksanaan Penunjang Pembelajaran,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.2.01,Penyusunan Program Perpustakaan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.2.02,Penyusunan Program Rutin Pembelajaran,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.2.03,Penyusunan Program Pengelolaan Laboratorium,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.2.04,Penyusunan Program Ekstrakurikuler,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.2.05,Pengadaan Buku LKS/Majalah,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.3.01,Pengelolaan Media Pembelajaran Cetak,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.3.02,Pelaksanaan Program Kesiswaan,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.3.03,Pelaksanaan Pendaftaran Peserta Didik Baru (PPDB),1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.3.04,Pengadaan Sarana Penunjang Kegiatan Belajar Mengajar,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5.2.3.05,Pendataan Dapodik,1,Unit,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
